,Reseña,Sentimiento
0,"Excelente producto, muy recomendado.",Positivo
1,"Pésima calidad, se rompió enseguida.",Negativo
2,Me encantó la calidad.,Positivo
3,No funciona como dice la descripción.,Negativo
4,El envío fue muy rápido.,Positivo
5,El envío tardó una eternidad.,Negativo
6,Funciona de maravilla.,Positivo
7,Muy caro para lo que realmente es.,Negativo
8,Superó mis expectativas.,Positivo
9,"No lo recomiendo, es una estafa.",Negativo
10,"Gran compra, lo volvería a adquirir.",Positivo
11,El servicio al cliente es horrible.,Negativo
12,Es justo lo que buscaba.,Positivo
13,Llegó defectuoso y sucio.,Negativo
14,Muy fácil de instalar y usar.,Positivo
15,Es muy difícil de configurar.,Negativo
16,La atención fue espectacular.,Positivo
17,Me arrepiento de haberlo comprado.,Negativo
18,Calidad premium a un precio justo.,Positivo
19,Faltaban piezas en la caja.,Negativo
20,Muy contento con el resultado.,Positivo
21,No es compatible con nada.,Negativo
22,Increíble diseño y color.,Positivo
23,El material se siente muy barato.,Negativo
24,Llegó en perfectas condiciones.,Positivo
25,Hice la devolución y sigo esperando.,Negativo
26,Es muy resistente y duradero.,Positivo
27,Se sobrecalienta a los 5 minutos.,Negativo
28,La mejor opción del mercado.,Positivo
29,La aplicación falla constantemente.,Negativo
30,El diseño es elegante y moderno.,Positivo
31,Las instrucciones son confusas.,Negativo
32,Cumple con todo lo prometido.,Positivo
33,El empaque llegó abierto.,Negativo
34,"Una joya, vale cada centavo.",Positivo
35,No tiene potencia suficiente.,Negativo
36,Es muy ligero y portátil.,Positivo
37,El color no es el de la foto.,Negativo
38,Soporte técnico de primera.,Positivo
39,Hace un ruido muy molesto.,Negativo
40,Super práctico para el día a día.,Positivo
41,Se siente muy frágil.,Negativo
42,Superó mis pruebas de rendimiento.,Positivo
43,Gasta mucha batería.,Negativo
44,Ideal para regalar.,Positivo
45,El tamaño es demasiado pequeño.,Negativo
46,La pantalla tiene una nitidez increíble.,Positivo
47,No incluye el cargador.,Negativo
48,Recomiendo comprarlo sin dudar.,Positivo
49,Se desconecta del WiFi seguido.,Negativo
50,"El acabado es impecable, se nota la calidad.",Positivo
51,"Se rompió al primer uso, una basura.",Negativo
52,La batería dura muchísimo más de lo que esperaba.,Positivo
53,El software es lento y se traba a cada rato.,Negativo
54,Totalmente recomendado para uso profesional.,Positivo
55,"Me siento estafado, no es el modelo original.",Negativo
56,"Es muy silencioso, ni se siente que está prendido.",Positivo
57,"El manual solo viene en chino, imposible entenderlo.",Negativo
